"nama_silver","nama_dim_dosen","prodi","fakultas","judul_proposal","sitasi","doi","jurnal","jurnal_kategori","tanggal_terbit_hari","tanggal_terbit_bulan","tanggal_terbit_tahun"
"Achmad Samudra Dewantara.","","TEKNIK INDUSTRI","FAKULTAS TEKNOLOGI INDUSTRI","Identifikasi Potensi Bahaya Pada UKM Tahu dengan Metode Hazard Identification and Risk Assessment Sebagai Langkah Penerapan Manajemen K3","2","","SINTA 4","NASIONAL","0","0","0"
"Aditya Ayuwulanda, M.si.","","KIMIA","FAKULTAS SAINS","Pelatihan Digital Marketing untuk Meningkatkan Pemasaran Produk Kelompok PKK Desa Patoman","2","","JURNAL NASIONAL","NASIONAL","0","5","2025"
"Aditya Ayuwulanda, M.si.","","KIMIA","FAKULTAS SAINS","Sosialisasi Perilaku Hidup Bersih dan Sehat di Panti Asuhan Darul Amanah Jati Mulyo, Lampung Selatan","2","","JURNAL NASIONAL","NASIONAL","0","0","0"
"Aditya Rianjanu.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","A polyaniline-enhanced quartz crystal microbalance sensor for room-temperature camphor detection","3","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","12","2025"
"Aditya Rianjanu.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Tailoring Urchin‐Like Nb2O5 Nanostructures with Molybdenum Doping to Enhance Adsorption Efficiency and Selectivity toward Cationic Dyes in Wastewater Treatment","1","https://doi.org/10.1002/adem.202402287","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","1","2025"
"Aditya Rianjanu.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Tailoring Urchin-Like Nb2O5 Nanostructures with Molybdenum Doping to Enhance Adsorption Efficiency and Selectivity toward Cationic Dyes in Wastewater Treatment","5","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","10","1","2025"
"Aditya Rianjanu.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Electrospun Rare-Earth Metal Oxide (CeO2 ) Nanofiber for the Degradation of Congo Red Aqueous Dyes","1","https://doi.org/10.26554/sti.2025.10.1.123-130","JURNAL INTERNASIONAL Q2","INTERNASIONAL","1","1","2025"
"Aditya Rianjanu.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","3D hierarchical rare-earth metal composite nanofiber membranes for highly durable and efficient photodegradations of organic pollutants","1","https://doi.org/10.1039/d4ma01144a","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","2","2025"
"Aditya Rianjanu.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","A polyaniline-enhanced quartz crystal microbalance sensor for room-temperature camphor detection","2","https://doi.org/10.1039/D4AY01859A","JURNAL INTERNASIONAL Q2","INTERNASIONAL","23","1","2025"
"Aditya Wahyu Nugraha.","","TEKNOLOGI INDUSTRI PERTANIAN","FAKULTAS TEKNOLOGI INDUSTRI","PENGARUH BIOKOAGULAN DARI KULIT PISANG KEPOK DAN BIJI KELOR TERHADAP KUALITAS LIMBAH CAIR INDUSTRI TAHU","1","https://doi.org/10.47767/agroindustri.v4i1.989","JURNAL NASIONAL","NASIONAL","17","3","2025"
"Adnin Musadri Asbi, S.hut., M.sc.","","PERENCANAAN WILAYAH DAN KOTA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Spatial Modeling of Tidal Flood Hazard and Mitigation Efforts in the Coastal Area of Bandar Lampung City, Indonesia.","1","","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","2","2025"
"Adnin Musadri Asbi, S.hut., M.sc.","","PERENCANAAN WILAYAH DAN KOTA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Spatial Modeling of Tidal Flood Hazard and Mitigation Efforts in the Coastal Area of Bandar Lampung City, Indonesia.","1","","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","2","2025"
"Aldila Nur Indah Berliana Ratam.","","SAINS AKTUARIA","FAKULTAS SAINS","PERHITUNGAN CADANGAN ASURANSI JIWA BERJANGKA DENGAN METODE FULL PRELIMINARY TERM DAN ESTIMASI TINGKAT SUKU BUNGA EXTENDED VASICEK BERBASIS ORDINARY LEAST SQUARE","1","https://doi.org/10.46306/lb.v6i2.1026","SINTA 5","NASIONAL","7","7","2025"
"Alvin Pratama.","","SAINS ATMOSFER DAN KEPLANETAN","FAKULTAS SAINS","Utilisation of WRF-HYSPLIT modelling approach and GEMS to identify PM2. 5 sources in Central Kalimantan&#8211;study case: 2023 forest fire","3","https://doi.org/10.1071/ES24006","JURNAL INTERNASIONAL Q1","INTERNASIONAL","10","1","2025"
"Alvin Pratama.","","SAINS ATMOSFER DAN KEPLANETAN","FAKULTAS SAINS","The performance of the weather research &amp; forecasting model (WRF) using ensemble method to predict weather parameters","1","","PROSIDING INTERNASIONAL","INTERNASIONAL","0","1","2025"
"Andhyka Tyaz Nugraha.","","TEKNIK INDUSTRI","FAKULTAS TEKNOLOGI INDUSTRI","Pengendalian Kualitas Dengan Pendekatan Metode Statistical Process Control, FMEA, Dan Kaizen Di PT. Surya Tsabat Mandiri","1","https://doi.org/10.64670/invasi.v2i2.11347","JURNAL NASIONAL","NASIONAL","0","3","2025"
"Andika Setiawan.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Analisis Perbandingan Metode Convolutional Neural Network (CNN) untuk Deteksi Warna pada Objek","3","","SINTA 4","NASIONAL","0","6","2025"
"Andre Febrianto.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Implementasi Pendidikan Spiritual Berbasis Hadis Dalam Mengatasi Krisis Moral Remaja di Era Modern","3","","SINTA 5","NASIONAL","30","1","2025"
"Andre Febrianto.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Analisis Hubungan Kepribadian Siswa dengan Karakteristik Kognitif dan Afektif dalam Pembelajaran: Kajian Studi Literatur","1","","SINTA 5","NASIONAL","24","5","2025"
"Apt. Novrilia Atika Nabila, S.farm., M.clin.pharm.","","FARMASI","FAKULTAS SAINS","Strengthening Rural Communities with Smart Village Approaches: A Case Study of Teratak Village","1","","JURNAL NASIONAL","NASIONAL","0","1","2025"
"Ardika Satria, M.si.","","SAINS DATA","FAKULTAS SAINS","Prediksi Hasil Panen Tanaman Pangan Sumatera dengan Metode Machine Learning","17","","SINTA 5","NASIONAL","0","1","2025"
"Arif Ashari.","","KIMIA","FAKULTAS SAINS","Development of flavonoid-loaded chitosan composite from Kalanchoe pinnata for antibacterial applications","1","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","3","2025"
"Aulia Annas Mufti.","","TEKNIK LINGKUNGAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Kinetic Investigation on Thermal Degradation of Empty Oil Palm Bunches Pyrolysis","6","https://doi.org/10.3311/PPch.38233","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","3","2025"
"Bayu Prasetya.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Mechanical Properties of Sugarcane Bagasse Fiber Composites: Epoxy vs Polyester Resin Matrices","1","","SINTA 4","NASIONAL","31","1","2025"
"Bilal Al Farishi.","","TEKNIK GEOLOGI","FAKULTAS TEKNOLOGI INDUSTRI","GEODIVERSITY AND GEOHERITAGE POTENTIAL OF BASALT CAVES IN GIRIMULYO VILLAGE, EAST LAMPUNG, INDONESIA","12","","JURNAL INTERNASIONAL","INTERNASIONAL","0","2","2025"
"Bilal Al Farishi.","","TEKNIK GEOLOGI","FAKULTAS TEKNOLOGI INDUSTRI","Hydro-Geochemical Assessment of Groundwater Quality Of Muda River Basin, Kedah Malaysia","6","https://doi.org/10.11113/mjfas.v21n1.3368","JURNAL INTERNASIONAL Q3","INTERNASIONAL","21","2","2025"
"Bilal Al Farishi.","","TEKNIK GEOLOGI","FAKULTAS TEKNOLOGI INDUSTRI","Geodiversity and geoheritage potential of basalt caves in Girimulyo Village, east Lampung, Indonesia: A mixed-method assessment approach","12","","JURNAL NASIONAL","NASIONAL","0","7","2025"
"Burhaan Shodiq.","","REKAYASA KEOLAHRAGAAN","FAKULTAS TEKNOLOGI INDUSTRI","Training Up and Down Stairs for 50 Meter Freestyle Swimming Speed at Win&#39;s Swimming Course Swimming Club","1","https://doi.org/10.53863/mor.v5i1.1524","SINTA 4","NASIONAL","11","6","2025"
"D Hariyanto, A Miranto, D Naufal, Mn Rafif, Mp Hernanda, I Marvie.","","TEKNIK ELEKTRO","FAKULTAS TEKNOLOGI INDUSTRI","Rancang Bangun Perangkat Instrumentasi dan Kontrol Bioreaktor Cascara Berbasis Raspberry Pi","1","","SINTA 4","NASIONAL","1","3","2025"
"Dadang Hartabela.","","ARSITEKTUR","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Entrepreneurship Training for Students of Tahsinul Khuluq Islamic Boarding School","1","https://doi.org/10.36448/jpmtb.v4i1.120","JURNAL NASIONAL","NASIONAL","13","5","2025"
"Damayanti.","","TEKNIK KIMIA","FAKULTAS TEKNOLOGI INDUSTRI","Immobilization of Enzymes on Electrodes and Electrode Design in Biofuel Cells","6","https://doi.org/10.3390/catal15030253","JURNAL INTERNASIONAL Q2","INTERNASIONAL","6","3","2025"
"David Septian Sumanto Marpaung.","","TEKNIK BIOSISTEM","FAKULTAS TEKNOLOGI INDUSTRI","Activated single nucleotide mismatch determination through toehold-embedded hairpin-mediated strand displacement reaction alongside CRISPR-Cas12a for detection of TP53 point mutation","6","https://doi.org/10.1016/j.snb.2024.136751","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","1","2025"
"David Septian Sumanto Marpaung.","","TEKNIK BIOSISTEM","FAKULTAS TEKNOLOGI INDUSTRI","Activated single nucleotide mismatch determination through toehold-embedded hairpin-mediated strand displacement reaction alongside CRISPR-Cas12a for detection of TP53 point &#8230;","6","https://doi.org/10.1016/j.snb.2024.136751","JURNAL INTERNASIONAL Q1","INTERNASIONAL","15","1","2025"
"Deska Lismawenning Puspitarum.","","FISIKA","FAKULTAS SAINS","Novel magnetically recoverable MnFe2O4/TiO2 nanocomposites synthesized using green route for photocatalytic degradation of methylene blue","5","https://doi.org/10.1016/j.watcyc.2024.11.001","JURNAL INTERNASIONAL Q1","INTERNASIONAL","23","1","2025"
"Deska Lismawenning Puspitarum.","","FISIKA","FAKULTAS SAINS","Green synthesized CoFe2O4/rGO nanocomposites utilizing plant leaf extracts as magnetically separable and reusable photocatalysts for organic toxic dye degradation","6","https://doi.org/10.1016/j.jwpe.2024.106708","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","1","2025"
"Deska Lismawenning Puspitarum.","","FISIKA","FAKULTAS SAINS","Green synthesized CoFe2O4/rGO nanocomposites utilizing plant leaf extracts as magnetically separable and reusable photocatalysts for organic toxic dye degradation","1","https://doi.org/10.1016/j.jwpe.2024.106708","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","1","2025"
"Dr. Apt. Anjar Hermadi Saputro, S.farm., M.pharm.sci.","","FARMASI","FAKULTAS SAINS","Perbandingan Metode Ekstraksi Maserasi, Sokletasi, Dan Sonikasi Terhadap Nilai Rendemen Ekstrak Rimpang Kunyit (Curcuma Longa L.)","3","","JURNAL NASIONAL","NASIONAL","0","5","2025"
"Dss Marpaung, Ss Jiang, Wt Fang, Yc Liao, Mc Chuang.","","TEKNIK BIOSISTEM","FAKULTAS TEKNOLOGI INDUSTRI","Activated single nucleotide mismatch determination through toehold-embedded hairpin-mediated strand displacement reaction alongside CRISPR-Cas12a for detection of TP53 point &#8230;","6","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","15","1","2025"
