"id","tahun","status","sdgs","judul_proposal"
"PENGABDIAN--135594835917589360","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","SURVEI DAN PEMETAAN RUMAH SEDERHANA TANPA STRUKTUR DI DESA TANJUNG ANOM KECAMATAN AMBARAWA KABUPATEN PRINGSEWU PROVINSI LAMPUNG"
"PENGABDIAN--2165960349052853824","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Sosialisasi Masyarakat Desa Wisata di Desa Maja Kecamatan kalianda Berbasis Mitigasi Tsunami"
"PENGABDIAN--2539345547822409901","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","PENERAPAN SISTEM MANAJEMEN KEUANGAN SEBAGAI USAHA UNTUK MENINGKATKAN KUALITAS PENGELOLAAN KEUANGAN USAHA MIKRO, KECIL DAN MENENGAH DESA LABUHAN, KEC.  PULAU PISANG"
"PENGABDIAN--2587767893325299329","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Perancangan Jaring dan Bak Sampah di Sekitar Sungai Way Kuripan Kelurahan Negeri Olok Gading Kecamatan Teluk Betung Barat"
"PENGABDIAN--3099805681049018909","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","PKM Pendampingan Sistem Jaminan Halal dan Pengembangan Produk Kopi pada Petani Kopi di Kecamatan Ulu Belu, Kab. Tanggamus."
"PENGABDIAN--3251837682718590303","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Pemetaan Lokasi Sumur Resapan Secara Efektif untuk Konservasi Air di Kelurahan Korpri Jaya Kecamatan Sukarame, Kota Bandar Lampung "
"PENGABDIAN--3592451038634675169","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Pelatihan Pembuatan Ecobrick sebagai Upaya Mengurangi Sampah Plastik pada Kelompok Masyarakat di Desa Gebang, Pesawaran"
"PENGABDIAN--443530791953184364","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","PkM Pelatihan 3D Printer di Sekolah Islam Terpadu Ar-Raihan (Studi Kasus Desain 3D Anatomi Manusia)"
"PENGABDIAN--4741259337686273018","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Pengembangan Sistem Tata Suara di Masjid Ad-Du’a Bandar Lampung Berbasis Pengukuran Akustik dengan Parameter Reverberation Time dan Speech Transmission Index"
"PENGABDIAN--5263359527944833645","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Program Pengembangan Destinasi Wisata Mancanegara Melalui 3P (Pemetaan, Pelatihan, dan Promosi) di Pulau Sebesi"
"PENGABDIAN--5682498834631401850","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Pelatihan Pembuatan Sistem Administrasi Sekolah Sederhana Terintegrasi (SIASIG) Di SMAN 2 Bandar Lampung"
"PENGABDIAN--7315067773635535865","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","PEMETAAN JALUR DRAINASE YANG BERKELANJUTAN DI DESA KARANG ANYAR"
"PENGABDIAN--7629711862975850739","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Pemberdayaan Perempuan untuk Kesehatan Keluarga melalui Pelatihan Pembuatan Permen Jelly Kunyit sebagai Produk Nutrasetikal Peningkat Daya Tahan Tubuh di Era Pandemi Covid-19 Perumahan Griya Damai Lestari Kelurahan Sabah Balau Lampung Selatan"
"PENGABDIAN--8120858691787885770","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","PENGEMBANGAN PRODUK SAMPING LARVA BSF SEBAGAI BAHAN BAKU KOSMETIK PADA PETERNAK MAGGOT DI DESA TRIHARJO, MERBAU MATARAM, LAMPUNG SELATAN"
"PENGABDIAN-1577263170842207699","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Pembuatan masterplan Sistem Drainase Kawasan Permukiman di Griya Assalam, Rajabasa, Kota Bandar Lampung"
"PENGABDIAN-167822043574505243","2022","diterima","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","Penyusunan Basis Data Lahan Garapan Menggunakan Metode Terestris untuk Pengembangan Desa Agroforestri Berbasis Informasi Geospasial (Studi Kasus: Desa Girimulyo)"
"PENGABDIAN-1694353770676592993","2022","ditolak","Program Kemitraan Masyarakat PKM maks Rp 10 000 000","APLIKASI ECO-ENZYME DARI SAMPAH ORGANIK SEBAGAI BAHAN DESINFEKTAN PADA MASYARAKAT DESA SIDODADI KABUPATEN PESAWARAN"
